Flight_ID,Predicted_Delay_Prob,Actual_Delay
340035,0.9999378,1
113632,0.9989825,1
456574,0.9997415,1
289491,0.99957865,1
56743,0.99949,1
472334,0.99986625,1
233425,0.99957854,1
194265,0.9978434,1
67825,0.99941087,1
209774,0.9999614,1
339624,0.99988735,1
373682,0.99994195,1
318972,0.9995623,1
442855,0.9998758,1
26667,0.9999721,1
243665,0.99841285,1
286430,0.99990296,1
409753,0.9995641,1
357833,0.99937856,1
159345,0.9999726,1
131692,0.999871,1
372890,0.99995315,1
341111,0.99951994,1
133749,0.9953389,1
252816,0.9999269,1
316272,0.9998111,1
384275,0.99989605,1
39449,0.9997899,1
127607,0.9997658,1
406447,0.9995265,1
50903,0.9999721,1
483471,0.9998839,1
294227,0.99990284,1
447230,0.99996996,1
431275,0.99774784,1
165817,0.99804866,1
16184,0.9997389,1
406446,0.99838483,1
492564,0.99972874,1
474317,0.99616575,1
403777,0.99991226,1
430298,0.99986994,1
353200,0.99899226,1
418525,0.99997246,1
14305,0.9997663,1
49973,0.99971277,1
438105,0.99985874,1
420505,0.9998975,1
296893,0.99992156,1
240258,0.99964094,1
432647,0.99987113,1
294002,0.99984956,1
34940,0.9999695,1
34866,0.99994326,1
48341,0.9999763,1
377244,0.9999305,1
482186,0.99968696,1
378669,0.9995833,1
323133,0.9999037,1
403615,0.99981076,1
368473,0.999869,1
230388,0.99990475,1
147188,0.99992883,1
329297,0.99940646,1
43870,0.9999325,1
107866,0.9999342,1
316924,0.9998481,1
149383,0.999894,1
265908,0.99996626,1
155012,0.999933,1
60072,0.9996549,1
49414,0.99986696,1
258724,0.9999027,1
432211,0.9985421,1
406332,0.9994598,1
489607,0.99997187,1
44836,0.9998381,1
496486,0.9993061,1
96744,0.999841,1
475904,0.99990785,1
106221,0.99947137,1
129412,0.9985292,1
115867,0.9996525,1
374054,0.99954814,1
407982,0.999933,1
397647,0.99997294,1
4404,0.9990583,1
377736,0.999338,1
450057,0.99964523,1
305294,0.9993123,1
23764,0.9998492,1
224831,0.9994167,1
212949,0.99990165,1
293672,0.9994562,1
140036,0.99935454,1
88048,0.9998958,1
52761,0.99993396,1
74823,0.99980634,1
149831,0.9999356,1
283526,0.9998988,1
389936,0.9998036,1
63597,0.99829274,1
302547,0.99935645,1
432406,0.99994266,1
83904,0.9997271,1
200319,0.9999105,1
59822,0.9997737,1
138052,0.99989104,1
365886,0.89660656,1
3028,0.99991775,1
177678,0.99976224,1
218913,0.9998841,1
80835,0.99962103,1
490706,0.9994779,1
275461,0.99880826,1
57163,0.99988043,1
368939,0.9999424,1
229129,0.99977213,1
311071,0.99983895,1
74650,0.9999205,1
409468,0.9992242,1
111349,0.9987413,1
443100,0.9989083,1
128753,0.9999243,1
195263,0.99991035,1
305065,0.9998555,1
418590,0.99972934,1
227156,0.9998374,1
107791,0.9998698,1
257948,0.999949,1
262402,0.9997732,1
360934,0.99966526,1
322447,0.99966776,1
231673,0.9999472,1
112711,0.99957734,1
124103,0.99969804,1
365241,0.99997604,1
1944,0.9997981,1
177447,0.99993086,1
295772,0.9998996,1
14904,0.9999336,1
4065,0.99996674,1
400828,0.99974555,1
52371,0.9999373,1
98902,0.99985826,1
441845,0.9999541,1
266342,0.9998685,1
160955,0.99977535,1
455582,0.9999114,1
47515,0.99997306,1
117063,0.9999236,1
232820,0.9998128,1
393216,0.99997437,1
209334,0.99983275,1
53522,0.99975795,1
35280,0.9989041,1
236859,0.9997396,1
400727,0.99995255,1
323312,0.9988487,1
31487,0.99897206,1
44402,0.999943,1
487078,0.99990857,1
107691,0.9984877,1
498599,0.99982494,1
213576,0.99997544,1
277327,0.9997398,1
337097,0.999941,1
458499,0.9999043,1
279077,0.99987495,1
160747,0.99953675,1
300248,0.99991703,1
8583,0.99991035,1
222751,0.9703579,1
472174,0.99918216,1
135926,0.9998863,1
312542,0.9998579,1
104839,0.9999316,1
247342,0.9998142,1
486204,0.99884146,1
261272,0.99992037,1
140314,0.99912506,1
9126,0.99945706,1
184078,0.99994254,1
58162,0.99997354,1
456103,0.9997286,1
387955,0.9999037,1
476879,0.9997708,1
149531,0.9998964,1
17275,0.9998592,1
95377,0.99997115,1
106360,0.99981636,1
220065,0.9999534,1
29302,0.9997489,1
17107,0.9999614,1
419685,0.9999356,1
105128,0.99990606,1
441158,0.99989915,1
148909,0.99971634,1
111008,0.99963975,1
251754,0.999967,1
240980,0.999915,1
334923,0.99988854,1
354497,0.9999125,1
377449,0.99942756,1
202275,0.99874324,1
474963,0.9999701,1
210697,0.99994624,1
322528,0.9999397,1
3205,0.9999751,1
10234,0.99991524,1
247749,0.99982566,1
311518,0.9999697,1
453111,0.9998242,1
458474,0.99987745,1
138877,0.9998759,1
351266,0.9999558,1
219654,0.9999285,1
424125,0.9987557,1
473672,0.99993896,1
195276,0.99986124,1
290030,0.99713385,1
58224,0.9995982,1
80661,0.99995005,1
280689,0.99997175,1
185108,0.9999286,1
323651,0.99994147,1
292915,0.9999498,1
214975,0.999881,1
103340,0.9994804,1
218308,0.999967,1
