DOT_CODE,FL_NUMBER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,YEAR,MONTH,DAY,DAY_OF_WEEK,QUARTER,DEP_HOUR,IS_WEEKEND,ROUTE_FREQUENCY,ORIGIN_DAILY_FLIGHTS,ORIGIN,DEST,SEASON,TIME_OF_DAY,DISTANCE_CATEGORY,DAY_OF_WEEK
19805,1722,1615,1632.0,22.0,1654.0,1823.0,3.0,1807,1826.0,112.0,114.0,89.0,544.0,0.0,17.0,2.0,0.0,0.0,2023,8,28,0,3,16,0,377,9,77,209,2,0,1,0
19393,1318,1920,1939.0,20.0,1959.0,2156.0,4.0,2150,2200.0,150.0,141.0,117.0,925.0,0.0,0.0,0.0,0.0,0.0,2019,1,29,1,1,19,0,285,5,131,61,3,1,1,1
19393,2050,1615,1614.0,6.0,1620.0,1717.0,7.0,1745,1724.0,210.0,190.0,177.0,1262.0,0.0,0.0,0.0,0.0,0.0,2021,3,24,2,1,16,0,161,1,345,275,1,0,0,2
19977,1563,1330,1323.0,9.0,1332.0,2113.0,4.0,2137,2117.0,307.0,294.0,281.0,2447.0,0.0,0.0,0.0,0.0,0.0,2022,4,1,4,2,13,0,38,2,212,324,1,0,3,4
19393,2384,615,615.0,10.0,625.0,719.0,5.0,730,724.0,135.0,129.0,114.0,696.0,0.0,0.0,0.0,0.0,0.0,2019,3,14,3,1,6,0,250,24,23,164,1,3,1,3
19805,564,1550,1607.0,23.0,1630.0,1852.0,9.0,1851,1901.0,361.0,354.0,322.0,2378.0,0.0,0.0,0.0,0.0,0.0,2019,5,5,6,2,15,1,77,10,275,322,1,0,3,6
19805,256,1222,1215.0,11.0,1226.0,1319.0,15.0,1354,1334.0,152.0,139.0,113.0,731.0,0.0,0.0,0.0,0.0,0.0,2020,11,8,6,4,12,1,506,17,23,100,0,2,1,6
20363,5205,2255,2247.0,19.0,2306.0,2334.0,4.0,2347,2338.0,52.0,51.0,28.0,143.0,0.0,0.0,0.0,0.0,0.0,2021,4,15,3,2,22,0,180,14,23,12,1,1,2,3
19790,2253,1723,1726.0,31.0,1757.0,1927.0,8.0,1920,1935.0,117.0,129.0,90.0,516.0,0.0,0.0,15.0,0.0,0.0,2022,11,18,4,4,17,0,166,1,262,23,0,0,1,4
20363,4685,1235,1233.0,13.0,1246.0,1347.0,5.0,1410,1352.0,95.0,79.0,61.0,411.0,0.0,0.0,0.0,0.0,0.0,2023,2,19,6,1,12,1,129,3,89,96,3,2,2,6
19977,2327,1830,1839.0,17.0,1856.0,2341.0,5.0,2343,2346.0,193.0,187.0,165.0,1482.0,0.0,0.0,0.0,0.0,0.0,2019,12,1,6,4,18,1,53,17,99,302,3,0,0,6
20398,3755,1718,1709.0,15.0,1724.0,1833.0,21.0,1904,1854.0,106.0,105.0,69.0,463.0,0.0,0.0,0.0,0.0,0.0,2020,10,19,0,4,17,0,108,1,135,260,0,0,2,0
20397,5594,1150,1219.0,12.0,1231.0,1349.0,3.0,1344,1352.0,114.0,93.0,78.0,490.0,0.0,0.0,0.0,0.0,0.0,2021,10,13,2,4,11,0,80,1,237,77,0,2,2,2
19790,575,1015,1013.0,14.0,1027.0,1245.0,8.0,1307,1253.0,172.0,160.0,138.0,946.0,0.0,0.0,0.0,0.0,0.0,2021,11,19,4,4,10,0,320,3,49,23,0,2,1,4
19930,947,1135,1154.0,22.0,1216.0,1355.0,7.0,1346,1402.0,191.0,188.0,159.0,1107.0,16.0,0.0,0.0,0.0,0.0,2022,11,28,0,4,11,0,521,16,276,322,0,2,0,0
20368,2252,1838,1841.0,29.0,1910.0,2140.0,7.0,2134,2147.0,176.0,186.0,150.0,1198.0,0.0,0.0,0.0,0.0,0.0,2019,7,5,4,3,18,0,4,1,334,323,2,0,0,4
20398,3879,600,557.0,11.0,608.0,721.0,17.0,737,738.0,97.0,101.0,73.0,436.0,0.0,0.0,0.0,0.0,0.0,2019,10,21,0,4,6,0,55,2,350,260,0,3,2,0
20416,1525,1907,1934.0,13.0,1947.0,2257.0,9.0,2250,2306.0,163.0,152.0,130.0,966.0,16.0,0.0,0.0,0.0,0.0,2023,8,3,3,3,19,0,186,7,174,131,2,1,1,3
19393,2165,1400,1356.0,7.0,1403.0,1656.0,4.0,1715,1700.0,135.0,124.0,113.0,861.0,0.0,0.0,0.0,0.0,0.0,2021,3,22,0,1,14,0,90,4,226,49,1,0,1,0
19790,2399,1930,1929.0,14.0,1943.0,2024.0,4.0,2041,2028.0,131.0,119.0,101.0,761.0,0.0,0.0,0.0,0.0,0.0,2021,6,15,1,2,19,0,145,10,23,256,2,1,1,1
19393,2285,1920,1921.0,13.0,1934.0,2010.0,4.0,2020,2014.0,60.0,53.0,36.0,189.0,0.0,0.0,0.0,0.0,0.0,2023,1,4,2,1,19,0,202,4,26,93,3,1,2,2
20416,680,615,906.0,10.0,916.0,1154.0,4.0,903,1158.0,108.0,112.0,98.0,674.0,171.0,0.0,4.0,0.0,0.0,2022,5,21,5,2,6,1,140,1,248,131,1,3,1,5
19805,1635,1144,1145.0,41.0,1226.0,1418.0,4.0,1410,1422.0,146.0,157.0,112.0,814.0,0.0,0.0,0.0,0.0,0.0,2022,2,21,0,1,11,0,143,8,96,356,3,2,1,0
19393,1885,1940,1935.0,14.0,1949.0,2158.0,5.0,2205,2203.0,85.0,88.0,69.0,495.0,0.0,0.0,0.0,0.0,0.0,2019,9,9,0,3,19,0,203,19,99,256,0,1,2,0
20398,4075,1427,1424.0,7.0,1431.0,1535.0,7.0,1553,1542.0,86.0,78.0,64.0,404.0,0.0,0.0,0.0,0.0,0.0,2020,1,8,2,1,14,0,60,1,139,100,3,0,2,2
19805,807,2227,2230.0,12.0,2242.0,2329.0,4.0,2353,2333.0,86.0,63.0,47.0,331.0,0.0,0.0,0.0,0.0,0.0,2021,3,25,3,1,22,0,228,9,77,96,1,1,2,3
19805,381,1230,1323.0,14.0,1336.0,1502.0,6.0,1534,1505.0,124.0,120.0,95.0,733.0,0.0,0.0,0.0,0.0,0.0,2022,8,1,0,3,12,0,810,22,261,209,2,2,1,0
19790,1091,1845,1840.0,11.0,1851.0,1923.0,6.0,1948,1929.0,63.0,49.0,32.0,152.0,0.0,0.0,0.0,0.0,0.0,2023,5,21,6,2,18,1,199,3,366,23,1,0,2,6
19687,2478,1627,1623.0,24.0,1647.0,1913.0,4.0,1920,1917.0,113.0,114.0,86.0,543.0,0.0,0.0,0.0,0.0,0.0,2021,7,23,4,3,16,0,57,8,323,62,2,0,1,4
20436,4870,1345,1416.0,33.0,1449.0,1741.0,6.0,1650,1747.0,185.0,211.0,172.0,1288.0,0.0,0.0,26.0,0.0,31.0,2023,7,27,3,3,13,0,7,3,189,333,2,0,0,3
20363,4868,715,714.0,22.0,736.0,848.0,5.0,850,853.0,95.0,99.0,72.0,549.0,0.0,0.0,0.0,0.0,0.0,2021,10,3,6,4,7,1,95,4,108,31,0,2,1,6
20436,2375,1319,1308.0,14.0,1322.0,1531.0,5.0,1558,1536.0,159.0,148.0,129.0,920.0,0.0,0.0,0.0,0.0,0.0,2021,5,8,5,2,13,1,207,4,275,356,1,0,1,5
20416,707,2125,212.0,12.0,224.0,414.0,7.0,2355,421.0,150.0,129.0,110.0,895.0,0.0,96.0,1.0,0.0,169.0,2022,8,19,4,3,21,0,127,7,223,75,2,1,1,4
19393,4586,1705,1701.0,8.0,1709.0,1822.0,15.0,1845,1837.0,220.0,216.0,193.0,1371.0,0.0,0.0,0.0,0.0,0.0,2019,11,2,5,4,17,1,148,2,345,198,0,0,0,5
19790,2540,905,918.0,11.0,929.0,1136.0,11.0,1159,1147.0,174.0,149.0,127.0,954.0,0.0,0.0,0.0,0.0,0.0,2019,8,31,5,3,9,1,543,9,201,322,2,2,1,5
